t(s); x(m); y(m); z(m)
1.86;2.360849897;1.778680278;0.356411879
1.87;2.345744094;1.790883932;0.373959206
1.88;2.330377146;1.80285045;0.391373667
1.89;2.314751765;1.814577256;0.408649075
1.9;2.298870698;1.826061808;0.425779292
1.91;2.282736729;1.837301601;0.442758231
1.92;2.266352677;1.84829417;0.459579861
1.93;2.249721398;1.859037082;0.476238204
1.94;2.232845781;1.869527945;0.492727342
1.95;2.215728748;1.879764406;0.509041416
1.96;2.198373258;1.889744148;0.52517463
1.97;2.180782301;1.899464894;0.541121252
1.98;2.1629589;1.908924407;0.556875616
1.99;2.144906111;1.918120489;0.572432126
2;2.126627021;1.927050983;0.587785252
2.01;2.108124748;1.935713771;0.602929542
2.02;2.089402443;1.944106777;0.617859613
2.03;2.070463285;1.952227965;0.632570162
2.04;2.051310482;1.960075343;0.647055962
2.05;2.031947276;1.967646957;0.661311865
2.06;2.012376932;1.974940899;0.675332808
2.07;1.992602746;1.981955302;0.689113808
2.08;1.972628042;1.988688341;0.70264997
2.09;1.952456171;1.995138235;0.715936483
2.1;1.932090509;2.001303247;0.728968627
2.11;1.911534461;2.007181684;0.741741773
2.12;1.890791454;2.012771895;0.754251381
2.13;1.869864943;2.018072275;0.766493007
2.14;1.848758406;2.023081264;0.778462302
2.15;1.827475345;2.027797346;0.790155012
2.16;1.806019286;2.032219051;0.801566985
2.17;1.784393776;2.036344954;0.812694164
2.18;1.762602386;2.040173675;0.823532598
2.19;1.740648708;2.043703882;0.834078434
2.2;1.718536356;2.046934286;0.844327926
2.21;1.696268962;2.049863649;0.854277432
2.22;1.673850181;2.052490774;0.863923417
2.23;1.651283684;2.054814516;0.873262455
2.24;1.628573164;2.056833775;0.882291226
2.25;1.605722329;2.058547498;0.891006524
2.26;1.582734908;2.059954679;0.899405252
2.27;1.559614644;2.061054361;0.907484425
2.28;1.536365297;2.061845634;0.915241173
2.29;1.512990644;2.062327637;0.92267274
2.3;1.489494476;2.062499556;0.929776486
2.31;1.465880599;2.062360626;0.936549887
2.32;1.442152832;2.06191013;0.942990536
2.33;1.41831501;2.061147401;0.949096145
2.34;1.394370978;2.06007182;0.954864545
