t_interpolado,tray_x_interpolado,tray_y_interpolado,tray_z_interpolado
2.59,0.7728746005633564,1.9304115178318222,0.9849003032839779
2.6,0.7475621177615056,1.9210952048428453,0.9814109259668508
2.61,0.722248576902821,1.9114675066647282,0.9775707779093923
2.62,0.6969378527341032,1.9015299142139626,0.9733830107226519
2.63,0.6716338200021574,1.8912839184070422,0.9688507760176797
2.64,0.6463403534537837,1.8807310101604586,0.9639772254055248
2.65,0.6210613278357877,1.8698726803907055,0.9587655104972377
2.66,0.5958006178949692,1.8587104200142746,0.9532187829038674
2.67,0.5705620983781334,1.8472457199476593,0.9473401942364642
2.68,0.5453496440320807,1.8354800711073513,0.9411328961060773
2.69,0.5201671296036166,1.823414964409844,0.934600040123757
2.7,0.49501842983954075,1.81105189077163,0.9277447779005524
2.71,0.46990741948665854,1.798392341109202,0.9205702610475138
2.72,0.4448379732917705,1.7854378063390517,0.9130796411756904
2.73,0.4198139660016814,1.7721897773776734,0.9052760698961326
2.74,0.3948392723631917,1.7586497451415577,0.8971626988198893
2.75,0.3699177671231067,1.7448192005471992,0.888742679558011
2.76,0.3450533250282277,1.7306996345110897,0.8800191637215472
2.77,0.3202498208253563,1.716292537949721,0.8709953029215469
2.78,0.2955111292612974,1.7015994017795875,0.861674248769061
2.79,0.2708411250828518,1.6866217169171798,0.852059152875138
2.8,0.2462436830368241,1.6713609742789926,0.8421531668508289
2.81,0.22172267787001504,1.6558186647815167,0.8319594423071823
2.82,0.19728198432922936,1.6399962793412464,0.8214811308552488
2.83,0.17292547716126777,1.6238953088746728,0.8107213841060772
2.84,0.14865703111293493,1.6075172442982897,0.7996833536707184
2.85,0.12448052093103167,1.590863576528589,0.7883701911602209
2.86,0.10039982136236258,1.5739357964820642,0.7767850481856354
2.87,0.07641880715372851,1.5567353950752065,0.764931076358011
2.88,0.05254135305193403,1.5392638632245104,0.7528114272883979
2.89,0.02877133380378001,1.5215226918464666,0.7404292525878452
2.9,0.005112624156071145,1.5035133718575697,0.7277877038674034
2.91,-0.018430901144392185,1.4852373941743104,0.7148899327381213
2.92,-0.041855367350804695,1.466696249713183,0.7017390908110498
2.93,-0.06515689971636598,1.4478914293906788,0.6883383296972374
2.94,-0.08833162349427127,1.4288244241232917,0.6746908010077348
2.95,-0.1113756639377201,1.4094967248275128,0.6607996563535908
2.96,-0.1342851462999073,1.3899098224198367,0.6466680473458565
2.97,-0.1570561958340324,1.3700652078167537,0.6322991255955799
2.98,-0.17968493779329064,1.349964371934759,0.6176960427138121
2.99,-0.20216749743088153,1.329608805690343,0.6028619503116018
3.0,-0.2245,1.309,0.5878
3.01,-0.24667880219014993,1.2881397783508106,0.5725139607160225
3.02,-0.26870118643605706,1.26703129451221,0.5570100707005524
3.03,-0.29056466660874947,1.2456780348242253,0.5412951855204423
3.04,-0.3122667565792594,1.2240834856268785,0.5253761607425415
3.05,-0.333804970218615,1.2022511332601975,0.5092598519337019
3.06,-0.35517682139784834,1.1801844640642045,0.49295311466077335
3.07,-0.37637982398798775,1.1578869643789265,0.476462804490608
3.08,-0.3974114918600652,1.1353621205443865,0.45979577699005514
3.09,-0.41826933888510903,1.112613418900611,0.44295888772596703
3.1,-0.43895087893415125,1.089644345787623,0.4259589922651932
3.11,-0.45945362587822014,1.0664583875454494,0.40880294617458585
3.12,-0.4797750935883478,1.0430590305141132,0.39149760502099423
